Ticker,final_score,score_basis,rating,category,price,weighted_rating,fund_rating_score,rating_cycles,rating_date,technical_score,vs50MA%,vs200MA%,RSI,VolSurge,1D%,1W%,1M%,AnnVol%,MaxDD%,AvgDollarVol,BarsFetched,RelStrength_AvgBench,RelStrength_vs_SPY,RelStrength_vs_DJI,RelStrength_vs_SPX,RelStrength_vs_IXIC,Flags,RelStrength_vs_AGG,RelStrength_vs_BND,RelStrength_vs_EFA,RelStrength_vs_VXUS,RelStrength_vs_EEM,RelStrength_vs_VNQ,RelStrength_vs_DBC,RelStrength_vs_GLD
DIEM,54.0,blended,Neutral,equity_em,42.86,4.1,82.0,"3yr, 5yr, 10yr",2026-08-31,47,-0.9,0.5,49.9,0.74,-1.1,-2.1,2.4,25.3,-16.8,587591.0,2601,-0.5,,,,,"MACD+, LowLiquidity",,,,,-0.5,,,
WRND,53.6,blended,Neutral,equity_intl,42.65,4.0,80.0,3yr,2026-08-31,47,,,,3.22,3.2,5.4,14.0,58.0,-12.7,210263.0,282,7.2,,,,,"VolumeSurge, BeatingAvgBench, BeatingAllBench, LowLiquidity, ShortHistory, RSI_NaN",,,7.2,7.2,,,,
FTWO,53.6,blended,Neutral,equity_us,46.47,5.0,100.0,3yr,2026-08-31,42,-1.9,0.8,50.8,0.37,1.3,-3.7,3.2,21.2,-19.1,411108.0,3879,-2.9,-3.0,-1.7,-3.2,-3.8,"MACD+, LowLiquidity",,,,,,,,
USMC,53.6,blended,Neutral,equity_us,75.92,4.2,84.0,"3yr, 5yr",2026-08-31,46,0.1,-0.3,56.5,0.56,-0.1,-0.6,0.1,14.4,-20.2,5636949.0,5068,0.2,0.1,1.4,-0.1,-0.8,"MACD+, BeatingAvgBench",,,,,,,,
SEIV,53.6,blended,Neutral,equity_us,50.15,5.0,100.0,3yr,2026-08-31,42,-0.9,-1.3,38.7,0.97,-1.1,-1.7,-0.9,15.5,-19.2,6553752.0,4543,-0.9,-1.0,0.3,-1.2,-1.9,Downtrend,,,,,,,,
SAGP,53.6,blended,Neutral,equity_intl,35.88,4.0,80.0,3yr,2026-08-31,47,-2.3,-2.6,48.7,1.01,-0.5,-4.3,0.2,20.4,-11.8,189676.0,2345,-2.5,,,,,"Downtrend, MACD+, LowLiquidity",,,-2.5,-2.5,,,,
DIVB,53.6,blended,Neutral,equity_us,66.98,5.0,100.0,"3yr, 5yr",2026-08-31,42,-1.5,-2.1,28.5,1.11,-0.9,-2.1,-2.8,13.6,-17.8,22490006.0,5076,-1.3,-1.4,-0.1,-1.6,-2.3,"Downtrend, Oversold(RSI)",,,,,,,,
RTH,53.6,blended,Neutral,equity_us,253.68,5.0,100.0,"3yr, 5yr, 10yr",2026-08-31,42,-1.0,-4.0,46.5,0.44,-0.2,-1.3,-4.6,17.7,-14.3,1593658.0,3462,-0.6,-0.6,0.7,-0.8,-1.5,"Downtrend, MACD+",,,,,,,,
IBBQ,53.6,blended,Neutral,equity_us,34.72,4.0,80.0,"3yr, 5yr",2026-08-31,47,0.2,-1.2,55.9,1.07,-0.7,0.3,-3.7,22.7,-28.2,1102802.0,4104,1.1,1.0,2.3,0.8,0.1,"MACD+, BeatingAvgBench, BeatingAllBench",,,,,,,,
TFLR,53.6,blended,Neutral,equity_us,50.88,4.0,80.0,3yr,2026-08-31,47,0.1,0.3,59.1,0.59,0.0,0.1,0.2,4.5,-5.9,7671449.0,4779,0.9,0.9,2.1,0.7,0.0,"Uptrend, BeatingAvgBench, BeatingAllBench",,,,,,,,
